Frequency (Hz),Measurement
2000000000.0,0.14221394062042236
2000937472.0,0.13517820835113525
2001874944.0,0.13156293332576752
2002812544.0,0.12767991423606873
2003750016.0,0.12365420162677765
2004687488.0,0.11951177567243576
2005624960.0,0.11353194713592529
2006562560.0,0.10911359637975693
2007500032.0,0.10376977920532227
2008437504.0,0.09871071577072144
2009374976.0,0.09290359169244766
2010312448.0,0.08707856386899948
2011250048.0,0.0812855064868927
2012187520.0,0.07507290691137314
2013124992.0,0.06986940652132034
2014062464.0,0.06394428014755249
2015000064.0,0.05700557678937912
2015937536.0,0.05162655562162399
2016875008.0,0.0456332303583622
2017812480.0,0.03992721438407898
2018749952.0,0.034326136112213135
2019687552.0,0.029372800141572952
2020625024.0,0.025030910968780518
2021562496.0,0.020529665052890778
2022499968.0,0.01724553294479847
2023437440.0,0.013808071613311768
2024375040.0,0.012170489877462387
2025312512.0,0.00966818816959858
2026249984.0,0.008932624012231827
2027187456.0,0.009148548357188702
2028125056.0,0.00880684144794941
2029062528.0,0.01044511329382658
2030000000.0,0.012164938263595104
2030937472.0,0.01527569442987442
2031874944.0,0.018186338245868683
2032812544.0,0.022945165634155273
2033750016.0,0.028994472697377205
2034687488.0,0.0345609113574028
2035624960.0,0.04188793525099754
2036562560.0,0.04892008379101753
2037500032.0,0.05573241785168648
2038437504.0,0.06433486938476562
2039374976.0,0.07285892218351364
2040312448.0,0.08072397112846375
2041250048.0,0.08862802386283875
2042187520.0,0.09827534854412079
2043124992.0,0.10566239058971405
2044062464.0,0.11240635067224503
2044999936.0,0.11946656554937363
2045937536.0,0.12499651312828064
2046875008.0,0.1301450878381729
2047812480.0,0.13462555408477783
2048749952.0,0.14401733875274658
2049687552.0,0.1394410878419876
2050625024.0,0.13417600095272064
2051562496.0,0.12815554440021515
2052499968.0,0.12196110934019089
2053437440.0,0.11445458233356476
2054375040.0,0.1076766848564148
2055312512.0,0.10030992329120636
2056249984.0,0.09316875785589218
2057187456.0,0.08560461550951004
2058125056.0,0.07926472276449203
2059062528.0,0.07174614071846008
2060000000.0,0.0647159218788147
2060937472.0,0.05771300196647644
2061874944.0,0.05127396062016487
2062812544.0,0.04467746615409851
2063750016.0,0.039073843508958817
2064687488.0,0.03337663412094116
2065624960.0,0.028693415224552155
2066562560.0,0.023307617753744125
2067500032.0,0.01913565769791603
2068437504.0,0.01575222983956337
2069374976.0,0.011872374452650547
2070312448.0,0.007484886795282364
2071250048.0,0.004777205642312765
2072187520.0,0.002539834240451455
2073124992.0,-5.17333610332571e-05
2074062464.0,-0.0023064359556883574
2075000064.0,-0.0047763013280928135
2075937536.0,-0.005742814391851425
2076875008.0,-0.0066907634027302265
2077812480.0,-0.007464345078915358
2078749952.0,-0.007853202521800995
2079687552.0,-0.00762381125241518
2080625024.0,-0.006860387045890093
2081562496.0,-0.006087688263505697
2082499968.0,-0.0044931042939424515
2083437440.0,-0.0032754908315837383
2084375040.0,-9.616939496481791e-05
2085312512.0,0.0026685288175940514
2086249984.0,0.00594419427216053
2087187456.0,0.010152443312108517
2088125056.0,0.01340000331401825
2089062528.0,0.01951707899570465
2090000000.0,0.025707397609949112
2090937472.0,0.03163536638021469
2091874944.0,0.03773098811507225
2092812544.0,0.04599227383732796
2093750016.0,0.053720343858003616
2094687488.0,0.06284914910793304
2095624960.0,0.07213770598173141
2096562560.0,0.08180999010801315
2097500032.0,0.09267117828130722
2098437504.0,0.10365539789199829
2099374976.0,0.11571267992258072
2100312448.0,0.12725584208965302
2101250048.0,0.1403803825378418
2102187520.0,0.15355579555034637
2103124992.0,0.16629227995872498
2104062464.0,0.17984715104103088
2104999936.0,0.19329328835010529
2105937536.0,0.20695112645626068
2106875008.0,0.2194112241268158
2107812480.0,0.23255589604377747
2108749952.0,0.2714625895023346
2109687552.0,0.2797999382019043
2110625024.0,0.28733107447624207
2111562496.0,0.2940532863140106
2112499968.0,0.2999781668186188
2113437440.0,0.30482178926467896
2114375040.0,0.30720239877700806
2115312512.0,0.3078243136405945
2116249984.0,0.3066970109939575
2117187456.0,0.30278971791267395
2118125056.0,0.2965424358844757
2119062528.0,0.2865101993083954
2120000000.0,0.2746146321296692
2120937472.0,0.2579793632030487
2121874944.0,0.2397090494632721
2122812544.0,0.21932391822338104
2123750016.0,0.19721437990665436
2124687488.0,0.1712852269411087
2125624960.0,0.14436152577400208
2126562560.0,0.11860566586256027
2127500032.0,0.09119796007871628
2128437504.0,0.0638025626540184
2129374976.0,0.037026770412921906
2130312448.0,0.011924289166927338
2131250048.0,-0.01243875827640295
2132187520.0,-0.03505964204668999
2133124992.0,-0.05492888391017914
2134062464.0,-0.07359527051448822
2135000064.0,-0.0879259780049324
2135937536.0,-0.09984303265810013
2136875008.0,-0.10923787206411362
2137812480.0,-0.11609459668397903
2138749952.0,-0.12015514820814133
2139687552.0,-0.12120009958744049
2140625024.0,-0.11914914101362228
2141562496.0,-0.11491294205188751
2142499968.0,-0.10822106897830963
2143437440.0,-0.09967155009508133
2144375040.0,-0.08924716711044312
2145312512.0,-0.07719125598669052
2146249984.0,-0.06444025039672852
2147187456.0,-0.050688453018665314
2148124928.0,-0.03609480336308479
2149062400.0,-0.021544286981225014
2150000128.0,-0.006783309392631054
2150937600.0,0.007398989982903004
2151875072.0,0.022366881370544434
2152812544.0,0.03640998899936676
2153750016.0,0.049840983003377914
2154687488.0,0.06241544336080551
2155624960.0,0.07503054291009903
2156562432.0,0.08628619462251663
2157499904.0,0.09693408012390137
2158437376.0,0.1074921041727066
2159375104.0,0.11774790287017822
2160312576.0,0.12654733657836914
2161250048.0,0.13628573715686798
2162187520.0,0.14478786289691925
2163124992.0,0.15426655113697052
2164062464.0,0.1623314768075943
2164999936.0,0.1705254316329956
2165937408.0,0.18005278706550598
2166874880.0,0.1880468726158142
2167812608.0,0.19611535966396332
2168750080.0,0.2214645892381668
2169687552.0,0.23254995048046112
2170625024.0,0.2431236207485199
2171562496.0,0.2545374929904938
2172499968.0,0.26507091522216797
2173437440.0,0.27488499879837036
2174374912.0,0.28358691930770874
2175312384.0,0.2913004159927368
2176250112.0,0.29766395688056946
2177187584.0,0.3026682138442993
2178125056.0,0.3061945140361786
2179062528.0,0.30875977873802185
2180000000.0,0.30824974179267883
2180937472.0,0.3059673011302948
2181874944.0,0.30194371938705444
2182812416.0,0.2962164580821991
2183749888.0,0.2869861423969269
2184687616.0,0.2761926054954529
2185625088.0,0.2644183039665222
2186562560.0,0.24959848821163177
2187500032.0,0.23402617871761322
2188437504.0,0.21591943502426147
2189374976.0,0.1972932666540146
2190312448.0,0.17780932784080505
2191249920.0,0.15710130333900452
2192187392.0,0.13659588992595673
2193125120.0,0.11419737339019775
2194062592.0,0.09312508255243301
2195000064.0,0.07333385199308395
2195937536.0,0.05249365046620369
2196875008.0,0.0331152006983757
2197812480.0,0.01634642854332924
2198749952.0,-6.732578913215548e-05
2199687424.0,-0.015854250639677048
2200624896.0,-0.028133857995271683
2201562624.0,-0.039156630635261536
2202500096.0,-0.04720649868249893
2203437568.0,-0.05406131222844124
2204375040.0,-0.058789461851119995
2205312512.0,-0.06111016497015953
2206249984.0,-0.06096779555082321
2207187456.0,-0.05860854312777519
2208124928.0,-0.05276457965373993
2209062400.0,-0.04685525968670845
2209999872.0,-0.038558993488550186
2210937600.0,-0.0266773272305727
2211875072.0,-0.015256622806191444
2212812544.0,-0.0020906240679323673
2213750016.0,0.012339780107140541
2214687488.0,0.02885620854794979
2215624960.0,0.045724522322416306
2216562432.0,0.062397927045822144
2217499904.0,0.0799107477068901
2218437376.0,0.09738662838935852
2219375104.0,0.11430312693119049
2220312576.0,0.13112102448940277
2221250048.0,0.14727891981601715
2222187520.0,0.1636691689491272
2223124992.0,0.17786172032356262
2224062464.0,0.1905999481678009
2224999936.0,0.20213352143764496
2225937408.0,0.21292410790920258
2226874880.0,0.2215089052915573
2227812608.0,0.22915691137313843
2228750080.0,0.20147107541561127
2229687552.0,0.20733176171779633
2230625024.0,0.21223317086696625
2231562496.0,0.21660800278186798
2232499968.0,0.21907590329647064
2233437440.0,0.219961479306221
2234374912.0,0.21870581805706024
2235312384.0,0.21573778986930847
2236250112.0,0.21055826544761658
2237187584.0,0.20326511561870575
2238125056.0,0.19397780299186707
2239062528.0,0.18245655298233032
2240000000.0,0.16948451101779938
2240937472.0,0.15409885346889496
2241874944.0,0.1369331181049347
2242812416.0,0.11969965696334839
2243749888.0,0.10032279789447784
2244687616.0,0.08045412600040436
2245625088.0,0.05900377407670021
2246562560.0,0.039231445640325546
2247500032.0,0.018412509933114052
2248437504.0,-0.0020340175833553076
2249374976.0,-0.022366834804415703
2250312448.0,-0.03993607312440872
2251249920.0,-0.05787071958184242
2252187392.0,-0.07270339876413345
2253125120.0,-0.08639326691627502
2254062592.0,-0.09707552194595337
2255000064.0,-0.10544601082801819
2255937536.0,-0.1124478131532669
2256875008.0,-0.11638273298740387
