Frequency (Hz),Measurement
2000000000.0,0.18117648363113403
2000937472.0,0.17323805391788483
2001874944.0,0.16481134295463562
2002812544.0,0.15593962371349335
2003750016.0,0.14747369289398193
2004687488.0,0.13715124130249023
2005624960.0,0.12631984055042267
2006562560.0,0.11447368562221527
2007500032.0,0.1018153727054596
2008437504.0,0.08943004161119461
2009374976.0,0.07642224431037903
2010312448.0,0.06284139305353165
2011250048.0,0.04911047965288162
2012187520.0,0.03537784889340401
2013124992.0,0.02037694863975048
2014062464.0,0.005995708983391523
2015000064.0,-0.00709562050178647
2015937536.0,-0.021772008389234543
2016875008.0,-0.034873444586992264
2017812480.0,-0.047484301030635834
2018749952.0,-0.060387659817934036
2019687552.0,-0.07133503258228302
2020625024.0,-0.08300654590129852
2021562496.0,-0.09155961871147156
2022499968.0,-0.10032068192958832
2023437440.0,-0.1070902869105339
2024375040.0,-0.1130504161119461
2025312512.0,-0.11749406158924103
2026249984.0,-0.1198941320180893
2027187456.0,-0.1215619370341301
2028125056.0,-0.1215829849243164
2029062528.0,-0.1204134002327919
2030000000.0,-0.11663226038217545
2030937472.0,-0.11113914847373962
2031874944.0,-0.10559303313493729
2032812544.0,-0.09890331327915192
2033750016.0,-0.08898888528347015
2034687488.0,-0.07957430928945541
2035624960.0,-0.06847234070301056
2036562560.0,-0.05634423717856407
2037500032.0,-0.04434584081172943
2038437504.0,-0.031154537573456764
2039374976.0,-0.0165571179240942
2040312448.0,-0.0023847746197134256
2041250048.0,0.011296059936285019
2042187520.0,0.02505178563296795
2043124992.0,0.038990654051303864
2044062464.0,0.052488502115011215
2044999936.0,0.0642954558134079
2045937536.0,0.07733459025621414
2046875008.0,0.08839017897844315
2047812480.0,0.0986599326133728
2048749952.0,0.09559211879968643
2049687552.0,0.10445509850978851
2050625024.0,0.11127344518899918
2051562496.0,0.11654704064130783
2052499968.0,0.1201586127281189
2053437440.0,0.12184464186429977
2054375040.0,0.12234985828399658
2055312512.0,0.11977572739124298
2056249984.0,0.11550433188676834
2057187456.0,0.10917539149522781
2058125056.0,0.10105366259813309
