Frequency (Hz),Measurement
2000000000.0,0.19091737270355225
2000937472.0,0.18346944451332092
2001874944.0,0.17563492059707642
2002812544.0,0.16716592013835907
2003750016.0,0.15810759365558624
2004687488.0,0.14776566624641418
2005624960.0,0.1368577629327774
2006562560.0,0.12558522820472717
2007500032.0,0.11409091204404831
2008437504.0,0.10176270455121994
2009374976.0,0.08881469815969467
2010312448.0,0.07445457577705383
2011250048.0,0.06114409863948822
2012187520.0,0.04678313806653023
2013124992.0,0.03308038413524628
2014062464.0,0.018526289612054825
2015000064.0,0.004956766031682491
2015937536.0,-0.009027041494846344
2016875008.0,-0.023076144978404045
2017812480.0,-0.03536711633205414
2018749952.0,-0.04797067865729332
2019687552.0,-0.05957215651869774
2020625024.0,-0.07044154405593872
2021562496.0,-0.08066704124212265
2022499968.0,-0.08779586106538773
2023437440.0,-0.0953327864408493
2024375040.0,-0.10164029151201248
2025312512.0,-0.10604681819677353
2026249984.0,-0.10822304338216782
2027187456.0,-0.11031579971313477
2028125056.0,-0.1104532778263092
2029062528.0,-0.1089545413851738
2030000000.0,-0.10500430315732956
2030937472.0,-0.1004183366894722
2031874944.0,-0.09505579620599747
2032812544.0,-0.08701576292514801
2033750016.0,-0.0782814472913742
2034687488.0,-0.06800425797700882
2035624960.0,-0.056916799396276474
2036562560.0,-0.04467594996094704
2037500032.0,-0.032586969435214996
2038437504.0,-0.01978977769613266
2039374976.0,-0.005952667444944382
2040312448.0,0.008288362063467503
2041250048.0,0.02196783758699894
2042187520.0,0.03647974133491516
2043124992.0,0.05035524442791939
2044062464.0,0.0632815808057785
2044999936.0,0.07692117989063263
2045937536.0,0.08793921023607254
2046875008.0,0.09883073717355728
2047812480.0,0.10902882367372513
2048749952.0,0.10675914585590363
2049687552.0,0.11478184163570404
2050625024.0,0.12372813373804092
2051562496.0,0.12740030884742737
2052499968.0,0.13241924345493317
2053437440.0,0.13366611301898956
2054375040.0,0.13357892632484436
2055312512.0,0.1313842087984085
2056249984.0,0.12717634439468384
2057187456.0,0.12145598977804184
2058125056.0,0.113141268491745
2059062528.0,0.10236706584692001
2060000000.0,0.0904916375875473
2060937472.0,0.07643342018127441
2061874944.0,0.06145980954170227
2062812544.0,0.045088157057762146
2063750016.0,0.029076050966978073
2064687488.0,0.011059542186558247
2065624960.0,-0.0068972473964095116
2066562560.0,-0.02445109933614731
2067500032.0,-0.041230589151382446
2068437504.0,-0.05885114148259163
2069374976.0,-0.07427091151475906
2070312448.0,-0.08824115246534348
2071250048.0,-0.10108303278684616
2072187520.0,-0.11207173019647598
2073124992.0,-0.12154816091060638
2074062464.0,-0.1288168877363205
2075000064.0,-0.1339004784822464
2075937536.0,-0.13782954216003418
2076875008.0,-0.13851429522037506
2077812480.0,-0.13846926391124725
2078749952.0,-0.135515034198761
2079687552.0,-0.13098201155662537
2080625024.0,-0.12395898997783661
2081562496.0,-0.11625012755393982
2082499968.0,-0.10809057950973511
2083437440.0,-0.09657388180494308
2084375040.0,-0.08566069602966309
2085312512.0,-0.0741250142455101
2086249984.0,-0.06131214648485184
2087187456.0,-0.04893225058913231
2088125056.0,-0.03570549190044403
2089062528.0,-0.023206643760204315
2090000000.0,-0.01158308144658804
2090937472.0,-0.000108555075712502
2091874944.0,0.010399533435702324
2092812544.0,0.021212421357631683
2093750016.0,0.03035801835358143
2094687488.0,0.03860589861869812
2095624960.0,0.04559005796909332
2096562560.0,0.053136132657527924
2097500032.0,0.058869581669569016
2098437504.0,0.06388577073812485
2099374976.0,0.06968972086906433
2100312448.0,0.07459156960248947
2101250048.0,0.07923994958400726
2102187520.0,0.08310288190841675
2103124992.0,0.08795719593763351
2104062464.0,0.09172648936510086
2104999936.0,0.09710525721311569
2105937536.0,0.10099620372056961
2106875008.0,0.10645688325166702
2107812480.0,0.11113785207271576
2108749952.0,0.14233236014842987
2109687552.0,0.14786143600940704
2110625024.0,0.15362876653671265
2111562496.0,0.15831099450588226
2112499968.0,0.16201996803283691
2113437440.0,0.16429995000362396
2114375040.0,0.16584862768650055
2115312512.0,0.16647987067699432
2116249984.0,0.16516005992889404
2117187456.0,0.16341610252857208
2118125056.0,0.16069284081459045
2119062528.0,0.15510211884975433
2120000000.0,0.14883679151535034
2120937472.0,0.1420186311006546
2121874944.0,0.1321353018283844
2122812544.0,0.12234557420015335
2123750016.0,0.11121450364589691
2124687488.0,0.1000438928604126
2125624960.0,0.087061807513237
2126562560.0,0.07360310852527618
2127500032.0,0.05964614450931549
2128437504.0,0.04512801766395569
2129374976.0,0.03179057687520981
2130312448.0,0.018298694863915443
2131250048.0,0.004493772052228451
2132187520.0,-0.007660704664885998
2133124992.0,-0.019695546478033066
2134062464.0,-0.032255399972200394
2135000064.0,-0.04290817305445671
2135937536.0,-0.052413009107112885
2136875008.0,-0.06041351333260536
2137812480.0,-0.06644926965236664
2138749952.0,-0.07265336066484451
2139687552.0,-0.07715746015310287
2140625024.0,-0.08001291006803513
2141562496.0,-0.08115340769290924
2142499968.0,-0.08186142146587372
2143437440.0,-0.07956540584564209
2144375040.0,-0.07671752572059631
2145312512.0,-0.0714947059750557
2146249984.0,-0.06655078381299973
2147187456.0,-0.06013268232345581
2148124928.0,-0.052711762487888336
2149062400.0,-0.04464336484670639
2150000128.0,-0.03623327985405922
2150937600.0,-0.027370547875761986
2151875072.0,-0.017318621277809143
2152812544.0,-0.008213145658373833
2153750016.0,0.0018974519334733486
2154687488.0,0.011390702798962593
2155624960.0,0.020610235631465912
2156562432.0,0.029591800644993782
2157499904.0,0.03880573809146881
2158437376.0,0.046369247138500214
2159375104.0,0.05315559729933739
2160312576.0,0.05913330614566803
2161250048.0,0.06513522565364838
2162187520.0,0.06971646100282669
2163124992.0,0.07310223579406738
2164062464.0,0.07810461521148682
2164999936.0,0.081260547041893
2165937408.0,0.08402018249034882
2166874880.0,0.0864669680595398
2167812608.0,0.08760788291692734
2168750080.0,0.16099563241004944
2169687552.0,0.16212794184684753
2170625024.0,0.1618487536907196
2171562496.0,0.15961310267448425
2172499968.0,0.15566429495811462
2173437440.0,0.15010498464107513
2174374912.0,0.1434251368045807
2175312384.0,0.13567617535591125
2176250112.0,0.12637466192245483
2177187584.0,0.11559741199016571
2178125056.0,0.10421250760555267
2179062528.0,0.09176354110240936
2180000000.0,0.08046035468578339
2180937472.0,0.06672653555870056
2181874944.0,0.053311388939619064
2182812416.0,0.03916608914732933
2183749888.0,0.025800766423344612
2184687616.0,0.012336501851677895
2185625088.0,-0.0009190078708343208
2186562560.0,-0.013918176293373108
2187500032.0,-0.02625257708132267
2188437504.0,-0.0387609601020813
2189374976.0,-0.05002780258655548
2190312448.0,-0.06003810837864876
2191249920.0,-0.07027609646320343
2192187392.0,-0.07880738377571106
2193125120.0,-0.08723614364862442
2194062592.0,-0.09430224448442459
2195000064.0,-0.10040786117315292
2195937536.0,-0.10586096346378326
2196875008.0,-0.10991158336400986
