Frequency (Hz),Measurement
2000000000.0,0.1815793365240097
2000937472.0,0.1737736165523529
2001874944.0,0.16534282267093658
2002812544.0,0.15651364624500275
2003750016.0,0.14633655548095703
2004687488.0,0.13584411144256592
2005624960.0,0.12525050342082977
2006562560.0,0.11352461576461792
2007500032.0,0.10081744939088821
2008437504.0,0.0881706029176712
2009374976.0,0.07447964698076248
2010312448.0,0.06097866967320442
2011250048.0,0.047361332923173904
2012187520.0,0.033029478043317795
2013124992.0,0.018466196954250336
2014062464.0,0.004467151593416929
2015000064.0,-0.010253576561808586
2015937536.0,-0.024174386635422707
2016875008.0,-0.03755373880267143
2017812480.0,-0.050731055438518524
2018749952.0,-0.06260968744754791
2019687552.0,-0.07496603578329086
2020625024.0,-0.08568456768989563
2021562496.0,-0.09410315752029419
2022499968.0,-0.10324093699455261
2023437440.0,-0.1102573499083519
2024375040.0,-0.11740470677614212
2025312512.0,-0.12135522067546844
2026249984.0,-0.1243152916431427
2027187456.0,-0.12540335953235626
2028125056.0,-0.1243528351187706
2029062528.0,-0.12243001908063889
2030000000.0,-0.1190745085477829
2030937472.0,-0.11468333750963211
2031874944.0,-0.10863790661096573
2032812544.0,-0.10055435448884964
2033750016.0,-0.09179557859897614
2034687488.0,-0.08168961107730865
2035624960.0,-0.07052411884069443
2036562560.0,-0.05886757746338844
2037500032.0,-0.04606260731816292
2038437504.0,-0.032021548599004745
2039374976.0,-0.017846764996647835
2040312448.0,-0.0040971664711833
2041250048.0,0.010147761553525925
2042187520.0,0.023670993745326996
2043124992.0,0.03705969452857971
2044062464.0,0.05123787000775337
2044999936.0,0.06400415301322937
2045937536.0,0.07590679824352264
2046875008.0,0.08654314279556274
2047812480.0,0.09627009183168411
2048749952.0,0.09438657760620117
2049687552.0,0.1039409339427948
2050625024.0,0.11065670102834702
2051562496.0,0.11545143276453018
2052499968.0,0.11917027086019516
2053437440.0,0.12104197591543198
2054375040.0,0.12128303945064545
2055312512.0,0.11861482262611389
2056249984.0,0.11409208923578262
2057187456.0,0.10695947706699371
2058125056.0,0.09931235015392303
2059062528.0,0.08949316293001175
2060000000.0,0.07734082639217377
2060937472.0,0.06434518098831177
2061874944.0,0.04976268857717514
2062812544.0,0.03322359174489975
2063750016.0,0.01628626137971878
2064687488.0,-0.0015440814895555377
2065624960.0,-0.0189275611191988
2066562560.0,-0.03638308122754097
2067500032.0,-0.05322786420583725
2068437504.0,-0.06920269876718521
2069374976.0,-0.08483846485614777
2070312448.0,-0.09942518174648285
2071250048.0,-0.11198340356349945
2072187520.0,-0.12325552850961685
2073124992.0,-0.13337047398090363
2074062464.0,-0.1400274783372879
2075000064.0,-0.14520326256752014
2075937536.0,-0.1491786539554596
2076875008.0,-0.14945587515830994
2077812480.0,-0.14845320582389832
2078749952.0,-0.14623765647411346
2079687552.0,-0.1421416848897934
2080625024.0,-0.13571244478225708
2081562496.0,-0.1279594451189041
2082499968.0,-0.11859578639268875
2083437440.0,-0.10881007462739944
2084375040.0,-0.09726488590240479
2085312512.0,-0.08516459912061691
2086249984.0,-0.07329262793064117
2087187456.0,-0.060456663370132446
2088125056.0,-0.047807980328798294
2089062528.0,-0.03617700934410095
2090000000.0,-0.024058785289525986
2090937472.0,-0.012997998856008053
2091874944.0,-0.0027377966325730085
2092812544.0,0.007292466703802347
2093750016.0,0.015870416536927223
2094687488.0,0.024186797440052032
2095624960.0,0.03150322288274765
2096562560.0,0.0377613790333271
2097500032.0,0.04290938749909401
2098437504.0,0.04846607521176338
2099374976.0,0.05353381484746933
2100312448.0,0.05810197815299034
2101250048.0,0.0622759610414505
2102187520.0,0.06658707559108734
2103124992.0,0.07027776539325714
2104062464.0,0.07382139563560486
2104999936.0,0.07923871278762817
2105937536.0,0.08361704647541046
2106875008.0,0.08877141028642654
2107812480.0,0.09239320456981659
2108749952.0,0.12312590330839157
2109687552.0,0.12936539947986603
2110625024.0,0.13418594002723694
2111562496.0,0.13962003588676453
2112499968.0,0.1430749148130417
2113437440.0,0.14636999368667603
2114375040.0,0.14782986044883728
2115312512.0,0.1480409950017929
2116249984.0,0.14677518606185913
2117187456.0,0.14505606889724731
2118125056.0,0.1417517513036728
2119062528.0,0.13618260622024536
2120000000.0,0.1301536113023758
2120937472.0,0.12312212586402893
2121874944.0,0.1140483021736145
2122812544.0,0.10470167547464371
2123750016.0,0.09375733137130737
2124687488.0,0.08237738907337189
2125624960.0,0.07061541080474854
2126562560.0,0.05815808102488518
2127500032.0,0.043215423822402954
2128437504.0,0.03018532320857048
2129374976.0,0.016913054510951042
2130312448.0,0.00311087048612535
2131250048.0,-0.010022752918303013
2132187520.0,-0.022982778027653694
2133124992.0,-0.035223644226789474
2134062464.0,-0.04734478145837784
2135000064.0,-0.0577007420361042
2135937536.0,-0.06654088199138641
2136875008.0,-0.07422500103712082
2137812480.0,-0.08117452263832092
2138749952.0,-0.08695698529481888
2139687552.0,-0.09091870486736298
2140625024.0,-0.0933278426527977
2141562496.0,-0.09316107630729675
2142499968.0,-0.09339675307273865
2143437440.0,-0.09120333194732666
2144375040.0,-0.08809763193130493
2145312512.0,-0.08434278517961502
2146249984.0,-0.07898042351007462
2147187456.0,-0.07269395142793655
2148124928.0,-0.06465370208024979
2149062400.0,-0.05691192299127579
2150000128.0,-0.048355549573898315
2150937600.0,-0.03809766843914986
2151875072.0,-0.028576454147696495
2152812544.0,-0.019254839047789574
2153750016.0,-0.00941645260900259
2154687488.0,-0.0007830265094526112
2155624960.0,0.00904231145977974
2156562432.0,0.018130816519260406
2157499904.0,0.02557046338915825
2158437376.0,0.033306531608104706
2159375104.0,0.03994596749544144
2160312576.0,0.046458899974823
2161250048.0,0.05200415104627609
2162187520.0,0.05616876482963562
2163124992.0,0.0610596239566803
2164062464.0,0.06467003375291824
2164999936.0,0.06701331585645676
2165937408.0,0.0698743686079979
2166874880.0,0.07197752594947815
2167812608.0,0.07381472736597061
2168750080.0,0.14574971795082092
2169687552.0,0.14693105220794678
2170625024.0,0.14570242166519165
2171562496.0,0.14361664652824402
2172499968.0,0.1387406289577484
2173437440.0,0.13340580463409424
2174374912.0,0.12548357248306274
2175312384.0,0.11713588237762451
2176250112.0,0.10788215696811676
2177187584.0,0.09775944799184799
2178125056.0,0.08673195540904999
2179062528.0,0.07438714057207108
2180000000.0,0.061110448092222214
2180937472.0,0.0478941835463047
2181874944.0,0.03422598913311958
2182812416.0,0.020280862227082253
2183749888.0,0.006748526822775602
2184687616.0,-0.006656202021986246
2185625088.0,-0.020551951602101326
2186562560.0,-0.03394307941198349
2187500032.0,-0.047029804438352585
2188437504.0,-0.05857216566801071
2189374976.0,-0.06969433277845383
2190312448.0,-0.08092475682497025
2191249920.0,-0.0899934470653534
2192187392.0,-0.09906543046236038
2193125120.0,-0.10706707090139389
2194062592.0,-0.11427775770425797
2195000064.0,-0.1196347177028656
2195937536.0,-0.12569192051887512
2196875008.0,-0.13010981678962708
2197812480.0,-0.1324942409992218
2198749952.0,-0.13452789187431335
2199687424.0,-0.1363905370235443
2200624896.0,-0.13760142028331757
2201562624.0,-0.1384751945734024
2202500096.0,-0.13648375868797302
2203437568.0,-0.1350756585597992
2204375040.0,-0.1330651044845581
2205312512.0,-0.13080450892448425
2206249984.0,-0.12758702039718628
2207187456.0,-0.12365634739398956
2208124928.0,-0.12024796009063721
2209062400.0,-0.11496920883655548
2209999872.0,-0.10956061631441116
2210937600.0,-0.10387919843196869
2211875072.0,-0.09707718342542648
2212812544.0,-0.090791717171669
2213750016.0,-0.08386987447738647
2214687488.0,-0.07620269060134888
