Frequency (Hz),Measurement
2000000000.0,0.18783023953437805
2000937472.0,0.18013714253902435
2001874944.0,0.1717015504837036
2002812544.0,0.16275082528591156
2003750016.0,0.15361246466636658
2004687488.0,0.14404185116291046
2005624960.0,0.13233520090579987
2006562560.0,0.12045274674892426
2007500032.0,0.10781315714120865
2008437504.0,0.09514822065830231
2009374976.0,0.08204393088817596
2010312448.0,0.06836361438035965
2011250048.0,0.0546073354780674
2012187520.0,0.04101232439279556
2013124992.0,0.025507114827632904
2014062464.0,0.011776835657656193
2015000064.0,-0.0024601134937256575
2015937536.0,-0.01655220240354538
2016875008.0,-0.03023555316030979
2017812480.0,-0.04285780340433121
2018749952.0,-0.05534987151622772
2019687552.0,-0.06723126024007797
2020625024.0,-0.07802680879831314
2021562496.0,-0.08792437613010406
2022499968.0,-0.09656580537557602
2023437440.0,-0.10386579483747482
2024375040.0,-0.11070416867733002
2025312512.0,-0.11417484283447266
2026249984.0,-0.11712738126516342
2027187456.0,-0.11953691393136978
2028125056.0,-0.11914995312690735
2029062528.0,-0.11738646030426025
2030000000.0,-0.11354485154151917
2030937472.0,-0.10886664688587189
2031874944.0,-0.10319919139146805
2032812544.0,-0.09547819197177887
2033750016.0,-0.08658603578805923
2034687488.0,-0.0768982395529747
2035624960.0,-0.06442087888717651
2036562560.0,-0.05338793992996216
2037500032.0,-0.041442546993494034
2038437504.0,-0.028267743065953255
2039374976.0,-0.013279500417411327
2040312448.0,-7.710248610237613e-05
2041250048.0,0.01475243829190731
2042187520.0,0.02815534733235836
2043124992.0,0.04315405339002609
2044062464.0,0.05560549348592758
2044999936.0,0.06910469383001328
2045937536.0,0.08163250982761383
2046875008.0,0.09314901381731033
2047812480.0,0.10325431823730469
2048749952.0,0.10079130530357361
2049687552.0,0.10979089885950089
2050625024.0,0.11632703989744186
2051562496.0,0.12208973616361618
2052499968.0,0.12543338537216187
2053437440.0,0.12747259438037872
2054375040.0,0.12762142717838287
2055312512.0,0.12547992169857025
2056249984.0,0.12061091512441635
2057187456.0,0.1141170859336853
2058125056.0,0.1060066968202591
2059062528.0,0.09707070142030716
2060000000.0,0.08471526205539703
2060937472.0,0.07237595319747925
2061874944.0,0.055997028946876526
2062812544.0,0.04011300951242447
2063750016.0,0.023734748363494873
2064687488.0,0.006208045408129692
2065624960.0,-0.011148183606564999
2066562560.0,-0.028405506163835526
2067500032.0,-0.04628613591194153
2068437504.0,-0.06287556886672974
2069374976.0,-0.07805320620536804
2070312448.0,-0.09256193786859512
2071250048.0,-0.106124147772789
2072187520.0,-0.11815278232097626
2073124992.0,-0.12653549015522003
2074062464.0,-0.13525758683681488
2075000064.0,-0.14035910367965698
2075937536.0,-0.1444503515958786
2076875008.0,-0.14544355869293213
2077812480.0,-0.14507508277893066
2078749952.0,-0.14204825460910797
2079687552.0,-0.13747306168079376
2080625024.0,-0.13071997463703156
2081562496.0,-0.12254804372787476
2082499968.0,-0.113881915807724
2083437440.0,-0.10314153134822845
2084375040.0,-0.09169970452785492
2085312512.0,-0.0806351900100708
2086249984.0,-0.06777873635292053
2087187456.0,-0.05604467913508415
2088125056.0,-0.04303107038140297
2089062528.0,-0.030933212488889694
2090000000.0,-0.018818771466612816
2090937472.0,-0.0070386589504778385
2091874944.0,0.0032480182126164436
2092812544.0,0.012918723747134209
2093750016.0,0.0220444668084383
2094687488.0,0.03069927543401718
2095624960.0,0.038105547428131104
2096562560.0,0.044374529272317886
2097500032.0,0.0503145270049572
