Frequency (Hz),Measurement
2000000000.0,0.18591934442520142
2000937472.0,0.17886120080947876
2001874944.0,0.17112289369106293
2002812544.0,0.16206426918506622
2003750016.0,0.15199582278728485
2004687488.0,0.14203332364559174
2005624960.0,0.1308819204568863
2006562560.0,0.119007907807827
2007500032.0,0.10691593587398529
2008437504.0,0.09460034966468811
2009374976.0,0.08104585111141205
2010312448.0,0.06759759038686752
2011250048.0,0.05363691970705986
2012187520.0,0.038915831595659256
2013124992.0,0.02499815635383129
2014062464.0,0.010537433438003063
2015000064.0,-0.003923933953046799
2015937536.0,-0.017042705789208412
2016875008.0,-0.031417567282915115
2017812480.0,-0.04517873376607895
2018749952.0,-0.05686177685856819
2019687552.0,-0.06864810734987259
2020625024.0,-0.07981903105974197
2021562496.0,-0.08997474610805511
2022499968.0,-0.09847884625196457
2023437440.0,-0.10543741285800934
2024375040.0,-0.11135192215442657
2025312512.0,-0.11644425243139267
2026249984.0,-0.1185014471411705
2027187456.0,-0.12056466192007065
2028125056.0,-0.12187722325325012
2029062528.0,-0.11916138231754303
2030000000.0,-0.11569910496473312
2030937472.0,-0.11072926968336105
2031874944.0,-0.1051134318113327
2032812544.0,-0.09717684239149094
2033750016.0,-0.08883706480264664
2034687488.0,-0.07937008887529373
2035624960.0,-0.0676666870713234
2036562560.0,-0.05524333938956261
2037500032.0,-0.043199799954891205
2038437504.0,-0.02975255437195301
2039374976.0,-0.01645715907216072
2040312448.0,-0.0026739495806396008
2041250048.0,0.011447032913565636
2042187520.0,0.026498060673475266
2043124992.0,0.04038617014884949
2044062464.0,0.05382551997900009
2044999936.0,0.06685866415500641
2045937536.0,0.07873743027448654
2046875008.0,0.09055552631616592
2047812480.0,0.10054788738489151
2048749952.0,0.09925465285778046
2049687552.0,0.1080196276307106
2050625024.0,0.11508410423994064
2051562496.0,0.12001178413629532
2052499968.0,0.12375180423259735
2053437440.0,0.12595494091510773
2054375040.0,0.12580004334449768
2055312512.0,0.12405920773744583
2056249984.0,0.11991598457098007
2057187456.0,0.11436820775270462
2058125056.0,0.10594719648361206
2059062528.0,0.09566143155097961
2060000000.0,0.08390258997678757
2060937472.0,0.07059677690267563
2061874944.0,0.054935239255428314
2062812544.0,0.039654482156038284
2063750016.0,0.022316351532936096
2064687488.0,0.004214022308588028
2065624960.0,-0.012287979014217854
2066562560.0,-0.030024845153093338
2067500032.0,-0.0473196916282177
2068437504.0,-0.06337203085422516
2069374976.0,-0.078819140791893
2070312448.0,-0.09330413490533829
2071250048.0,-0.10682016611099243
2072187520.0,-0.1175270825624466
2073124992.0,-0.12787385284900665
2074062464.0,-0.13595958054065704
2075000064.0,-0.14106956124305725
2075937536.0,-0.14497777819633484
2076875008.0,-0.14655666053295135
2077812480.0,-0.14617252349853516
2078749952.0,-0.1431383490562439
2079687552.0,-0.13864557445049286
2080625024.0,-0.13269276916980743
2081562496.0,-0.12477069348096848
2082499968.0,-0.11524132639169693
2083437440.0,-0.10522665083408356
2084375040.0,-0.09498877078294754
2085312512.0,-0.08255403488874435
2086249984.0,-0.07012074440717697
2087187456.0,-0.057502392679452896
2088125056.0,-0.04503381624817848
2089062528.0,-0.0327199250459671
2090000000.0,-0.020336011424660683
2090937472.0,-0.00939874816685915
2091874944.0,0.000524657778441906
2092812544.0,0.010916787199676037
2093750016.0,0.020190056413412094
2094687488.0,0.02812078222632408
2095624960.0,0.03587228059768677
2096562560.0,0.04195921868085861
2097500032.0,0.04871952161192894
2098437504.0,0.05348999798297882
2099374976.0,0.05838622525334358
2100312448.0,0.06329245865345001
2101250048.0,0.06739893555641174
2102187520.0,0.07174158096313477
2103124992.0,0.0763072669506073
2104062464.0,0.08062972128391266
2104999936.0,0.08576881140470505
2105937536.0,0.09021592885255814
2106875008.0,0.0943593755364418
2107812480.0,0.09884529560804367
2108749952.0,0.13070006668567657
2109687552.0,0.13644446432590485
2110625024.0,0.14205174148082733
2111562496.0,0.14810892939567566
2112499968.0,0.1513226330280304
2113437440.0,0.15465199947357178
2114375040.0,0.1556098908185959
2115312512.0,0.15646953880786896
2116249984.0,0.15552611649036407
2117187456.0,0.15324248373508453
2118125056.0,0.1507152020931244
2119062528.0,0.14555571973323822
2120000000.0,0.14019550383090973
2120937472.0,0.13300056755542755
2121874944.0,0.12369080632925034
2122812544.0,0.11450164020061493
2123750016.0,0.10293737798929214
2124687488.0,0.0916278213262558
2125624960.0,0.0797879695892334
2126562560.0,0.06619966775178909
2127500032.0,0.05330420285463333
2128437504.0,0.03956260904669762
2129374976.0,0.025849509984254837
2130312448.0,0.012196129187941551
2131250048.0,-0.0016083503141999245
2132187520.0,-0.013946187682449818
2133124992.0,-0.025747403502464294
2134062464.0,-0.03802426531910896
2135000064.0,-0.048390816897153854
2135937536.0,-0.05770352855324745
2136875008.0,-0.06559880822896957
2137812480.0,-0.07267896831035614
2138749952.0,-0.0781620517373085
2139687552.0,-0.082662433385849
2140625024.0,-0.08515579253435135
2141562496.0,-0.0864534005522728
2142499968.0,-0.08664685487747192
2143437440.0,-0.08546533435583115
2144375040.0,-0.08292794227600098
2145312512.0,-0.07907211780548096
2146249984.0,-0.07313483208417892
2147187456.0,-0.06740819662809372
2148124928.0,-0.05957632511854172
2149062400.0,-0.05260532349348068
2150000128.0,-0.04364517703652382
2150937600.0,-0.03432648628950119
2151875072.0,-0.025805039331316948
2152812544.0,-0.01567756198346615
2153750016.0,-0.006738963071256876
2154687488.0,0.002450367668643594
2155624960.0,0.012126270681619644
2156562432.0,0.02074943110346794
2157499904.0,0.028525125235319138
2158437376.0,0.03634575754404068
2159375104.0,0.0434177964925766
2160312576.0,0.04894440621137619
2161250048.0,0.05476889759302139
2162187520.0,0.06031645089387894
2163124992.0,0.06464601308107376
2164062464.0,0.06844139844179153
2164999936.0,0.07092918455600739
2165937408.0,0.0736466646194458
2166874880.0,0.07594353705644608
2167812608.0,0.0775323286652565
2168750080.0,0.14952178299427032
2169687552.0,0.15111316740512848
2170625024.0,0.15067845582962036
2171562496.0,0.14874327182769775
2172499968.0,0.14477941393852234
2173437440.0,0.13873353600502014
2174374912.0,0.131632000207901
2175312384.0,0.12343118339776993
2176250112.0,0.11522053927183151
2177187584.0,0.10457780212163925
2178125056.0,0.09390416741371155
2179062528.0,0.08077704906463623
2180000000.0,0.06872691959142685
2180937472.0,0.055942732840776443
2181874944.0,0.04235826060175896
2182812416.0,0.02938234992325306
2183749888.0,0.015468372032046318
2184687616.0,0.0021434719674289227
2185625088.0,-0.012149033136665821
2186562560.0,-0.02387250028550625
2187500032.0,-0.03632918372750282
2188437504.0,-0.048294760286808014
2189374976.0,-0.06073108687996864
2190312448.0,-0.07071781903505325
2191249920.0,-0.0808139517903328
2192187392.0,-0.08966626971960068
2193125120.0,-0.09809630364179611
2194062592.0,-0.10582185536623001
2195000064.0,-0.11161348223686218
2195937536.0,-0.11693665385246277
2196875008.0,-0.12167662382125854
2197812480.0,-0.12524302303791046
2198749952.0,-0.128094881772995
2199687424.0,-0.1293359100818634
2200624896.0,-0.1304772049188614
2201562624.0,-0.1310732662677765
2202500096.0,-0.13121670484542847
2203437568.0,-0.12884439527988434
2204375040.0,-0.12727220356464386
2205312512.0,-0.12524141371250153
2206249984.0,-0.1223832368850708
2207187456.0,-0.1191122755408287
2208124928.0,-0.11436966061592102
2209062400.0,-0.11069624125957489
2209999872.0,-0.10543756186962128
2210937600.0,-0.09982889890670776
2211875072.0,-0.09461269527673721
2212812544.0,-0.08710971474647522
2213750016.0,-0.08053238689899445
2214687488.0,-0.07376964390277863
2215624960.0,-0.06615077704191208
2216562432.0,-0.058476053178310394
2217499904.0,-0.0506250336766243
2218437376.0,-0.04287119209766388
2219375104.0,-0.03375445306301117
2220312576.0,-0.02467384748160839
2221250048.0,-0.01633569411933422
2222187520.0,-0.007935837842524052
2223124992.0,0.0023810798302292824
2224062464.0,0.012217344716191292
2224999936.0,0.0224191565066576
2225937408.0,0.032632339745759964
2226874880.0,0.04213906452059746
2227812608.0,0.051652271300554276
2228750080.0,0.058291416615247726
2229687552.0,0.0660061314702034
2230625024.0,0.0735311359167099
2231562496.0,0.08107911795377731
2232499968.0,0.08745778352022171
2233437440.0,0.09331643581390381
2234374912.0,0.09812119603157043
