Frequency (Hz),Measurement
2000000000.0,0.1870817095041275
2000937472.0,0.17938771843910217
2001874944.0,0.17083285748958588
2002812544.0,0.16146212816238403
2003750016.0,0.15082471072673798
2004687488.0,0.14071378111839294
2005624960.0,0.12854444980621338
2006562560.0,0.11790624260902405
2007500032.0,0.10370644181966782
2008437504.0,0.09096832573413849
2009374976.0,0.07807648181915283
2010312448.0,0.06392920017242432
2011250048.0,0.05023974925279617
2012187520.0,0.035922884941101074
2013124992.0,0.02035631239414215
2014062464.0,0.006267998833209276
2015000064.0,-0.008072178810834885
2015937536.0,-0.021478988230228424
2016875008.0,-0.03521881625056267
2017812480.0,-0.048298273235559464
2018749952.0,-0.06140243262052536
2019687552.0,-0.07326493412256241
2020625024.0,-0.0836888775229454
2021562496.0,-0.09326919913291931
2022499968.0,-0.10204452276229858
2023437440.0,-0.10929150879383087
2024375040.0,-0.11484084278345108
2025312512.0,-0.11948921531438828
2026249984.0,-0.1227354034781456
2027187456.0,-0.12370871007442474
2028125056.0,-0.12302464246749878
2029062528.0,-0.12246116995811462
2030000000.0,-0.11822104454040527
2030937472.0,-0.11465845257043839
2031874944.0,-0.10760598629713058
2032812544.0,-0.09874967485666275
2033750016.0,-0.09028550982475281
2034687488.0,-0.08055715262889862
2035624960.0,-0.0689183920621872
2036562560.0,-0.05749305337667465
2037500032.0,-0.04315583407878876
2038437504.0,-0.031062548980116844
2039374976.0,-0.016479993239045143
2040312448.0,-0.0023272642865777016
2041250048.0,0.012366683222353458
2042187520.0,0.026336336508393288
2043124992.0,0.04062962159514427
2044062464.0,0.05365435406565666
2044999936.0,0.06724164634943008
2045937536.0,0.07931512594223022
2046875008.0,0.09052775055170059
2047812480.0,0.10142556577920914
2048749952.0,0.09896498173475266
2049687552.0,0.10787837207317352
2050625024.0,0.11608841270208359
2051562496.0,0.12106611579656601
2052499968.0,0.12455827742815018
2053437440.0,0.12717284262180328
2054375040.0,0.12759071588516235
2055312512.0,0.12458443641662598
2056249984.0,0.12097156792879105
2057187456.0,0.115104541182518
2058125056.0,0.10652319341897964
2059062528.0,0.09648986160755157
2060000000.0,0.0842243954539299
2060937472.0,0.07153468579053879
2061874944.0,0.0563197061419487
2062812544.0,0.04182517156004906
2063750016.0,0.023742880672216415
2064687488.0,0.007997180335223675
2065624960.0,-0.009298576042056084
2066562560.0,-0.025716150179505348
2067500032.0,-0.043263934552669525
2068437504.0,-0.05939202383160591
2069374976.0,-0.07490432262420654
2070312448.0,-0.0887925922870636
2071250048.0,-0.1012306809425354
2072187520.0,-0.11204740405082703
2073124992.0,-0.12110992521047592
2074062464.0,-0.12779638171195984
2075000064.0,-0.13319624960422516
2075937536.0,-0.13740485906600952
2076875008.0,-0.13864314556121826
2077812480.0,-0.13868363201618195
2078749952.0,-0.13553668558597565
2079687552.0,-0.13187703490257263
2080625024.0,-0.1246752217411995
2081562496.0,-0.1165546402335167
2082499968.0,-0.108428455889225
2083437440.0,-0.09804667532444
2084375040.0,-0.08646634221076965
2085312512.0,-0.07418522983789444
2086249984.0,-0.06315041333436966
2087187456.0,-0.05123202130198479
2088125056.0,-0.03885465860366821
2089062528.0,-0.027258489280939102
2090000000.0,-0.015165702439844608
2090937472.0,-0.004536129999905825
2091874944.0,0.006003856658935547
2092812544.0,0.015469950623810291
2093750016.0,0.023226846009492874
2094687488.0,0.03167503699660301
2095624960.0,0.03795851394534111
2096562560.0,0.04384858161211014
2097500032.0,0.049471884965896606
2098437504.0,0.05316922813653946
2099374976.0,0.05879850313067436
2100312448.0,0.0621807761490345
2101250048.0,0.06671111285686493
2102187520.0,0.07008836418390274
2103124992.0,0.07467491924762726
2104062464.0,0.07963699847459793
2104999936.0,0.08232975751161575
2105937536.0,0.08637078106403351
2106875008.0,0.09065946936607361
2107812480.0,0.0954209417104721
2108749952.0,0.1269087791442871
2109687552.0,0.13183346390724182
2110625024.0,0.13760723173618317
2111562496.0,0.1424378752708435
2112499968.0,0.14626315236091614
2113437440.0,0.1487393081188202
2114375040.0,0.15152059495449066
2115312512.0,0.15242816507816315
2116249984.0,0.15176691114902496
2117187456.0,0.1496235579252243
2118125056.0,0.14613458514213562
2119062528.0,0.141558438539505
2120000000.0,0.13684099912643433
2120937472.0,0.12877368927001953
2121874944.0,0.12209099531173706
2122812544.0,0.1131133958697319
2123750016.0,0.1013747826218605
2124687488.0,0.09000390022993088
2125624960.0,0.07884947955608368
2126562560.0,0.06588791310787201
2127500032.0,0.05304645001888275
2128437504.0,0.04032878577709198
2129374976.0,0.027263352647423744
2130312448.0,0.014797951094806194
2131250048.0,0.002212350256741047
2132187520.0,-0.010099147446453571
2133124992.0,-0.02183453179895878
2134062464.0,-0.03317886218428612
2135000064.0,-0.041454385966062546
2135937536.0,-0.05071857199072838
2136875008.0,-0.058503489941358566
2137812480.0,-0.06503140181303024
2138749952.0,-0.06987390667200089
2139687552.0,-0.07417329400777817
2140625024.0,-0.07649577409029007
